N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
88,메리츠금융지주,"25,400","1,000",-3.79%,500,"32,725","128,838",7.14,"95,679",3.59,22.33,
89,현대미포조선,"81,700",500,+0.62%,"5,000","32,633","39,942",13.16,"221,793",-14.27,-7.11,
90,BGF리테일,"188,500","2,500",+1.34%,"1,000","32,580","17,284",30.99,"25,372",20.65,19.61,
91,현대오토에버,"117,000","1,500",+1.30%,500,"32,086","27,424",1.78,"39,903",40.94,7.26,
92,한국가스공사,"34,750",0,0.00%,"5,000","32,079","92,313",10.84,"361,159",2.74,11.63,
93,현대차2우B,"87,700",300,+0.34%,"5,000","31,998","36,485",59.89,"65,131",4.67,N/A,
94,쌍용C&E,"6,280",190,-2.94%,100,"31,642","503,860",2.98,"580,515",21.00,11.12,
95,아모레G,"37,350",300,+0.81%,500,"30,798","82,458",15.02,"84,915",24.35,5.49,
96,일진머티리얼즈,"66,400","2,700",-3.91%,500,"30,618","46,111",10.29,"311,913",43.01,7.85,
97,NH투자증권,"8,980",90,-0.99%,"5,000","29,784","331,666",13.88,"748,883",3.58,14.77,
98,메리츠증권,"4,415",215,-4.64%,"1,000","29,130","659,791",13.00,"714,812",3.78,15.77,
99,OCI,"121,500","2,500",-2.02%,"5,000","28,977","23,849",15.37,"404,522",3.89,23.93,
100,두산밥캣,"28,800",400,-1.37%,500,"28,872","100,249",24.24,"146,383",7.78,9.19,
101,한미사이언스,"41,700",50,-0.12%,500,"28,616","68,624",1.51,"75,467",59.23,6.37,
102,현대해상,"32,000","1,700",+5.61%,500,"28,608","89,400",31.57,"483,850",6.23,8.82,
103,이마트,"102,000","2,000",-1.92%,"5,000","28,433","27,876",28.02,"141,473",1.24,16.25,
104,삼성증권,"31,650","1,500",-4.52%,"5,000","28,263","89,300",27.67,"544,029",3.41,16.94,
105,팬오션,"5,280",170,-3.12%,"1,000","28,225","534,570",15.28,"3,121,390",4.29,17.16,
106,호텔신라,"67,500","1,300",-1.89%,"5,000","26,492","39,248",14.95,"175,865",129.31,4.51,
107,제일기획,"22,700",500,-2.16%,200,"26,114","115,041",32.22,"195,871",14.68,15.58,
108,한전기술,"67,300",800,+1.20%,200,"25,722","38,220",2.48,"214,511",195.64,3.25,
109,CJ대한통운,"112,500","3,500",-3.02%,"5,000","25,664","22,812",17.87,"45,480",37.21,1.59,
110,롯데쇼핑,"90,100","4,200",-4.45%,"5,000","25,488","28,289",11.17,"125,755",-12.58,-2.94,
111,GS리테일,"24,150",350,-1.43%,"1,000","25,289","104,718",7.00,"194,760",3.00,25.58,
112,KCC,"280,000","1,500",-0.53%,"5,000","24,882","8,886",9.29,"18,223",-43.89,-0.92,
113,동서,"24,950",550,-2.16%,500,"24,875","99,700",2.95,"53,932",21.83,8.05,
114,GS건설,"28,550",400,-1.38%,"5,000","24,434","85,581",29.35,"598,834",6.14,9.32,
115,에스원,"63,600",200,-0.31%,500,"24,167","37,999",52.99,"28,218",18.72,9.13,
116,한솔케미칼,"209,500","5,000",-2.33%,"5,000","23,747","11,335",34.44,"46,904",16.04,23.88,
117,만도,"49,700",400,-0.80%,"1,000","23,338","46,957",20.35,"322,091",15.78,9.31,
118,한화시스템,"12,200",650,-5.06%,"5,000","23,048","188,919",3.27,"736,415",24.16,6.04,
119,대우건설,"5,410",200,-3.57%,"5,000","22,485","415,623",11.04,"1,050,737",4.41,16.47,
120,포스코인터내셔널,"18,150",0,0.00%,"5,000","22,393","123,375",7.13,"417,301",5.22,10.86,
121,KODEX 레버리지,"14,070",275,-1.92%,0,"22,350","158,850",1.96,"25,391,373",N/A,N/A,
122,CJ,"76,000","1,200",-1.55%,"5,000","22,175","29,177",17.26,"29,692",8.88,5.66,
123,대한전선,"1,760",70,-3.83%,100,"21,903","1,244,473",2.06,"10,835,782",40.93,7.78,
124,한화에어로스페이스,"42,350","1,750",-3.97%,"5,000","21,442","50,630",20.36,"361,277",10.61,9.21,
125,녹십자,"183,000","1,000",+0.55%,"5,000","21,386","11,687",22.87,"37,089",18.62,10.30,
126,현대차우,"87,700",100,+0.11%,"5,000","21,361","24,357",57.64,"17,657",4.67,N/A,
